Date,Open,High,Low,Close,Volume,Adj Close
2012-02-17,503.11,507.77,500.30,502.12,19135900,479.93
2012-02-16,491.50,504.89,486.63,502.21,33734000,480.02
2012-02-15,514.26,526.29,496.89,497.67,53790000,475.68
2012-02-14,504.66,509.56,502.00,509.46,16442800,486.95
2012-02-13,499.53,503.83,497.09,502.60,18472000,480.39
2012-02-10,490.96,497.62,488.55,493.42,22546500,471.62
2012-02-09,480.76,496.75,480.56,493.17,31579100,471.38
2012-02-08,470.50,476.79,469.70,476.68,14567500,455.62
2012-02-07,465.25,469.75,464.58,468.83,11293700,448.12
2012-02-06,458.38,464.98,458.20,463.97,8907600,443.47
2012-02-03,457.30,460.00,455.56,459.68,10235700,439.37
2012-02-02,455.90,457.17,453.98,455.12,6671300,435.01
2012-02-01,458.41,458.99,455.55,456.19,9644500,436.03
2012-01-31,455.59,458.24,453.07,456.48,13988700,436.31
2012-01-30,445.71,453.90,445.39,453.01,13547900,432.99
2012-01-27,444.34,448.48,443.77,447.28,10703900,427.52
2012-01-26,448.36,448.79,443.14,444.63,11570900,424.98
2012-01-25,454.44,454.45,443.73,446.66,34225500,426.92
2012-01-24,425.10,425.10,419.55,420.41,19558500,401.83
2012-01-23,422.67,428.45,422.30,427.41,10930800,408.53
2012-01-20,427.49,427.50,419.75,420.30,14784800,401.73
2012-01-19,430.15,431.37,426.51,427.75,9347800,408.85
2012-01-18,426.96,429.47,426.30,429.11,9885400,410.15
2012-01-17,424.20,425.99,422.96,424.70,8674900,405.94
2012-01-13,419.70,420.45,418.66,419.81,8072200,401.26
2012-01-12,422.28,422.90,418.75,421.39,7592400,402.77
2012-01-11,422.68,422.85,419.31,422.55,7681600,403.88
2012-01-10,425.91,426.00,421.50,423.24,9221300,404.54
2012-01-09,425.50,427.75,421.35,421.73,14072300,403.10
2012-01-06,419.77,422.75,419.22,422.40,11367600,403.74
2012-01-05,414.95,418.55,412.67,418.03,9688200,399.56
2012-01-04,410.00,414.68,409.28,413.44,9286500,395.17
2012-01-03,409.40,412.50,409.00,411.23,10793600,393.06
2011-12-30,403.51,406.28,403.49,405.00,6416500,387.11
